image_path,emotion
FER2013_images\training\11665_6.png,6
FER2013_images\training\11666_3.png,3
FER2013_images\training\11667_5.png,5
FER2013_images\training\11668_5.png,5
FER2013_images\training\11669_0.png,0
FER2013_images\training\11670_5.png,5
FER2013_images\training\11671_4.png,4
FER2013_images\training\11672_4.png,4
FER2013_images\training\11673_4.png,4
FER2013_images\training\11674_2.png,2
FER2013_images\training\11675_0.png,0
FER2013_images\training\11676_6.png,6
FER2013_images\training\11677_2.png,2
FER2013_images\training\11678_2.png,2
FER2013_images\training\11679_4.png,4
FER2013_images\training\11680_6.png,6
FER2013_images\training\11681_3.png,3
FER2013_images\training\11682_2.png,2
FER2013_images\training\11683_3.png,3
FER2013_images\training\11684_5.png,5
FER2013_images\training\11685_3.png,3
FER2013_images\training\11686_6.png,6
FER2013_images\training\11687_2.png,2
FER2013_images\training\11688_0.png,0
FER2013_images\training\11689_6.png,6
FER2013_images\training\11690_6.png,6
FER2013_images\training\11691_3.png,3
FER2013_images\training\11692_5.png,5
FER2013_images\training\11693_4.png,4
FER2013_images\training\11694_0.png,0
FER2013_images\training\11695_3.png,3
FER2013_images\training\11696_3.png,3
FER2013_images\training\11697_3.png,3
FER2013_images\training\11698_6.png,6
FER2013_images\training\11699_4.png,4
FER2013_images\training\11700_4.png,4
FER2013_images\training\11701_3.png,3
FER2013_images\training\11702_3.png,3
FER2013_images\training\11703_4.png,4
FER2013_images\training\11704_2.png,2
FER2013_images\training\11705_6.png,6
FER2013_images\training\11706_2.png,2
FER2013_images\training\11707_0.png,0
FER2013_images\training\11708_0.png,0
FER2013_images\training\11709_5.png,5
FER2013_images\training\11710_4.png,4
FER2013_images\training\11711_6.png,6
FER2013_images\training\11712_6.png,6
FER2013_images\training\11713_6.png,6
FER2013_images\training\11714_0.png,0
FER2013_images\training\11715_3.png,3
FER2013_images\training\11716_2.png,2
FER2013_images\training\11717_3.png,3
FER2013_images\training\11718_2.png,2
FER2013_images\training\11719_4.png,4
FER2013_images\training\11720_3.png,3
FER2013_images\training\11721_5.png,5
FER2013_images\training\11722_4.png,4
FER2013_images\training\11723_6.png,6
FER2013_images\training\11724_6.png,6
FER2013_images\training\11725_6.png,6
FER2013_images\training\11726_3.png,3
FER2013_images\training\11727_2.png,2
FER2013_images\training\11728_2.png,2
FER2013_images\training\11729_2.png,2
FER2013_images\training\11730_5.png,5
FER2013_images\training\11731_1.png,1
FER2013_images\training\11732_0.png,0
FER2013_images\training\11733_3.png,3
FER2013_images\training\11734_5.png,5
FER2013_images\training\11735_0.png,0
FER2013_images\training\11736_2.png,2
FER2013_images\training\11737_5.png,5
FER2013_images\training\11738_6.png,6
FER2013_images\training\11739_4.png,4
FER2013_images\training\11740_5.png,5
FER2013_images\training\11741_5.png,5
FER2013_images\training\11742_3.png,3
FER2013_images\training\11743_3.png,3
FER2013_images\training\11744_0.png,0
FER2013_images\training\11745_1.png,1
FER2013_images\training\11746_4.png,4
FER2013_images\training\11747_2.png,2
FER2013_images\training\11748_2.png,2
FER2013_images\training\11749_3.png,3
FER2013_images\training\11750_3.png,3
FER2013_images\training\11751_3.png,3
FER2013_images\training\11752_4.png,4
FER2013_images\training\11753_4.png,4
FER2013_images\training\11754_2.png,2
FER2013_images\training\11755_0.png,0
FER2013_images\training\11756_0.png,0
FER2013_images\training\11757_5.png,5
FER2013_images\training\11758_2.png,2
FER2013_images\training\11759_0.png,0
FER2013_images\training\11760_6.png,6
FER2013_images\training\11761_3.png,3
FER2013_images\training\11762_2.png,2
FER2013_images\training\11763_3.png,3
FER2013_images\training\11764_0.png,0
FER2013_images\training\11765_2.png,2
FER2013_images\training\11766_3.png,3
FER2013_images\training\11767_2.png,2
FER2013_images\training\11768_3.png,3
FER2013_images\training\11769_0.png,0
FER2013_images\training\11770_2.png,2
FER2013_images\training\11771_6.png,6
FER2013_images\training\11772_3.png,3
FER2013_images\training\11773_2.png,2
FER2013_images\training\11774_2.png,2
FER2013_images\training\11775_3.png,3
FER2013_images\training\11776_3.png,3
FER2013_images\training\11777_4.png,4
FER2013_images\training\11778_4.png,4
FER2013_images\training\11779_6.png,6
FER2013_images\training\11780_6.png,6
FER2013_images\training\11781_0.png,0
FER2013_images\training\11782_2.png,2
FER2013_images\training\11783_6.png,6
FER2013_images\training\11784_6.png,6
FER2013_images\training\11785_3.png,3
FER2013_images\training\11786_5.png,5
FER2013_images\training\11787_4.png,4
FER2013_images\training\11788_6.png,6
FER2013_images\training\11789_6.png,6
FER2013_images\training\11790_4.png,4
FER2013_images\training\11791_3.png,3
FER2013_images\training\11792_4.png,4
FER2013_images\training\11793_3.png,3
FER2013_images\training\11794_4.png,4
FER2013_images\training\11795_3.png,3
FER2013_images\training\11796_6.png,6
FER2013_images\training\11797_3.png,3
FER2013_images\training\11798_6.png,6
FER2013_images\training\11799_3.png,3
FER2013_images\training\11800_4.png,4
FER2013_images\training\11801_3.png,3
FER2013_images\training\11802_3.png,3
FER2013_images\training\11803_4.png,4
FER2013_images\training\11804_2.png,2
FER2013_images\training\11805_0.png,0
FER2013_images\training\11806_3.png,3
FER2013_images\training\11807_3.png,3
FER2013_images\training\11808_3.png,3
FER2013_images\training\11809_6.png,6
FER2013_images\training\11810_2.png,2
FER2013_images\training\11811_5.png,5
FER2013_images\training\11812_3.png,3
FER2013_images\training\11813_0.png,0
FER2013_images\training\11814_3.png,3
FER2013_images\training\11815_4.png,4
FER2013_images\training\11816_2.png,2
FER2013_images\training\11817_4.png,4
FER2013_images\training\11818_6.png,6
FER2013_images\training\11819_3.png,3
FER2013_images\training\11820_0.png,0
FER2013_images\training\11821_4.png,4
FER2013_images\training\11822_4.png,4
FER2013_images\training\11823_6.png,6
FER2013_images\training\11824_5.png,5
FER2013_images\training\11825_0.png,0
FER2013_images\training\11826_4.png,4
FER2013_images\training\11827_4.png,4
FER2013_images\training\11828_2.png,2
FER2013_images\training\11829_2.png,2
FER2013_images\training\11830_2.png,2
FER2013_images\training\11831_5.png,5
FER2013_images\training\11832_3.png,3
FER2013_images\training\11833_3.png,3
FER2013_images\training\11834_6.png,6
FER2013_images\training\11835_3.png,3
FER2013_images\training\11836_4.png,4
FER2013_images\training\11837_2.png,2
FER2013_images\training\11838_3.png,3
FER2013_images\training\11839_4.png,4
FER2013_images\training\11840_3.png,3
FER2013_images\training\11841_0.png,0
FER2013_images\training\11842_3.png,3
FER2013_images\training\11843_2.png,2
FER2013_images\training\11844_6.png,6
FER2013_images\training\11845_2.png,2
FER2013_images\training\11846_6.png,6
FER2013_images\training\11847_2.png,2
FER2013_images\training\11848_5.png,5
FER2013_images\training\11849_0.png,0
FER2013_images\training\11850_3.png,3
FER2013_images\training\11851_3.png,3
FER2013_images\training\11852_4.png,4
FER2013_images\training\11853_4.png,4
FER2013_images\training\11854_4.png,4
FER2013_images\training\11855_2.png,2
FER2013_images\training\11856_6.png,6
FER2013_images\training\11857_3.png,3
FER2013_images\training\11858_3.png,3
FER2013_images\training\11859_2.png,2
FER2013_images\training\11860_6.png,6
FER2013_images\training\11861_3.png,3
FER2013_images\training\11862_3.png,3
FER2013_images\training\11863_0.png,0
FER2013_images\training\11864_6.png,6
FER2013_images\training\11865_5.png,5
FER2013_images\training\11866_3.png,3
FER2013_images\training\11867_4.png,4
FER2013_images\training\11868_3.png,3
FER2013_images\training\11869_3.png,3
FER2013_images\training\11870_3.png,3
FER2013_images\training\11871_3.png,3
FER2013_images\training\11872_6.png,6
FER2013_images\training\11873_1.png,1
FER2013_images\training\11874_3.png,3
FER2013_images\training\11875_6.png,6
FER2013_images\training\11876_4.png,4
FER2013_images\training\11877_0.png,0
FER2013_images\training\11878_6.png,6
FER2013_images\training\11879_6.png,6
FER2013_images\training\11880_4.png,4
FER2013_images\training\11881_4.png,4
FER2013_images\training\11882_0.png,0
FER2013_images\training\11883_0.png,0
FER2013_images\training\11884_3.png,3
FER2013_images\training\11885_3.png,3
FER2013_images\training\11886_4.png,4
FER2013_images\training\11887_0.png,0
FER2013_images\training\11888_2.png,2
FER2013_images\training\11889_6.png,6
FER2013_images\training\11890_2.png,2
FER2013_images\training\11891_4.png,4
FER2013_images\training\11892_2.png,2
FER2013_images\training\11893_3.png,3
FER2013_images\training\11894_6.png,6
FER2013_images\training\11895_5.png,5
FER2013_images\training\11896_5.png,5
FER2013_images\training\11897_3.png,3
FER2013_images\training\11898_0.png,0
FER2013_images\training\11899_6.png,6
FER2013_images\training\11900_4.png,4
FER2013_images\training\11901_6.png,6
FER2013_images\training\11902_5.png,5
FER2013_images\training\11903_3.png,3
FER2013_images\training\11904_2.png,2
FER2013_images\training\11905_0.png,0
FER2013_images\training\11906_2.png,2
FER2013_images\training\11907_3.png,3
FER2013_images\training\11908_2.png,2
FER2013_images\training\11909_4.png,4
FER2013_images\training\11910_5.png,5
FER2013_images\training\11911_5.png,5
FER2013_images\training\11912_3.png,3
FER2013_images\training\11913_6.png,6
FER2013_images\training\11914_2.png,2
FER2013_images\training\11915_2.png,2
FER2013_images\training\11916_2.png,2
FER2013_images\training\11917_2.png,2
FER2013_images\training\11918_0.png,0
FER2013_images\training\11919_6.png,6
FER2013_images\training\11920_3.png,3
FER2013_images\training\11921_3.png,3
FER2013_images\training\11922_0.png,0
FER2013_images\training\11923_3.png,3
FER2013_images\training\11924_4.png,4
FER2013_images\training\11925_6.png,6
FER2013_images\training\11926_3.png,3
FER2013_images\training\11927_3.png,3
FER2013_images\training\11928_6.png,6
FER2013_images\training\11929_0.png,0
FER2013_images\training\11930_6.png,6
FER2013_images\training\11931_4.png,4
FER2013_images\training\11932_5.png,5
FER2013_images\training\11933_4.png,4
FER2013_images\training\11934_2.png,2
FER2013_images\training\11935_4.png,4
FER2013_images\training\11936_6.png,6
FER2013_images\training\11937_4.png,4
FER2013_images\training\11938_6.png,6
FER2013_images\training\11939_4.png,4
FER2013_images\training\11940_4.png,4
FER2013_images\training\11941_6.png,6
FER2013_images\training\11942_3.png,3
FER2013_images\training\11943_4.png,4
FER2013_images\training\11944_2.png,2
FER2013_images\training\11945_4.png,4
FER2013_images\training\11946_6.png,6
FER2013_images\training\11947_3.png,3
FER2013_images\training\11948_4.png,4
FER2013_images\training\11949_0.png,0
FER2013_images\training\11950_4.png,4
FER2013_images\training\11951_6.png,6
FER2013_images\training\11952_3.png,3
FER2013_images\training\11953_4.png,4
FER2013_images\training\11954_2.png,2
FER2013_images\training\11955_3.png,3
FER2013_images\training\11956_2.png,2
FER2013_images\training\11957_3.png,3
FER2013_images\training\11958_6.png,6
FER2013_images\training\11959_0.png,0
FER2013_images\training\11960_3.png,3
FER2013_images\training\11961_3.png,3
FER2013_images\training\11962_2.png,2
FER2013_images\training\11963_6.png,6
FER2013_images\training\11964_0.png,0
FER2013_images\training\11965_0.png,0
FER2013_images\training\11966_4.png,4
FER2013_images\training\11967_3.png,3
FER2013_images\training\11968_2.png,2
FER2013_images\training\11969_5.png,5
FER2013_images\training\11970_6.png,6
FER2013_images\training\11971_1.png,1
FER2013_images\training\11972_2.png,2
FER2013_images\training\11973_3.png,3
FER2013_images\training\11974_4.png,4
FER2013_images\training\11975_3.png,3
FER2013_images\training\11976_5.png,5
FER2013_images\training\11977_6.png,6
FER2013_images\training\11978_4.png,4
FER2013_images\training\11979_5.png,5
FER2013_images\training\11980_5.png,5
FER2013_images\training\11981_3.png,3
FER2013_images\training\11982_2.png,2
FER2013_images\training\11983_6.png,6
FER2013_images\training\11984_2.png,2
FER2013_images\training\11985_6.png,6
FER2013_images\training\11986_0.png,0
FER2013_images\training\11987_5.png,5
FER2013_images\training\11988_2.png,2
FER2013_images\training\11989_3.png,3
FER2013_images\training\11990_3.png,3
FER2013_images\training\11991_2.png,2
FER2013_images\training\11992_3.png,3
FER2013_images\training\11993_6.png,6
FER2013_images\training\11994_4.png,4
FER2013_images\training\11995_3.png,3
FER2013_images\training\11996_4.png,4
FER2013_images\training\11997_6.png,6
FER2013_images\training\11998_3.png,3
FER2013_images\training\11999_2.png,2
FER2013_images\training\12000_3.png,3
FER2013_images\training\12001_4.png,4
FER2013_images\training\12002_2.png,2
FER2013_images\training\12003_1.png,1
FER2013_images\training\12004_5.png,5
FER2013_images\training\12005_2.png,2
FER2013_images\training\12006_4.png,4
FER2013_images\training\12007_2.png,2
FER2013_images\training\12008_3.png,3
FER2013_images\training\12009_6.png,6
FER2013_images\training\12010_5.png,5
FER2013_images\training\12011_3.png,3
FER2013_images\training\12012_6.png,6
FER2013_images\training\12013_6.png,6
FER2013_images\training\12014_6.png,6
FER2013_images\training\12015_6.png,6
FER2013_images\training\12016_0.png,0
FER2013_images\training\12017_6.png,6
FER2013_images\training\12018_5.png,5
FER2013_images\training\12019_2.png,2
FER2013_images\training\12020_2.png,2
FER2013_images\training\12021_6.png,6
FER2013_images\training\12022_0.png,0
FER2013_images\training\12023_6.png,6
FER2013_images\training\12024_3.png,3
FER2013_images\training\12025_0.png,0
FER2013_images\training\12026_3.png,3
FER2013_images\training\12027_0.png,0
FER2013_images\training\12028_3.png,3
FER2013_images\training\12029_2.png,2
FER2013_images\training\12030_4.png,4
FER2013_images\training\12031_2.png,2
FER2013_images\training\12032_5.png,5
FER2013_images\training\12033_4.png,4
FER2013_images\training\12034_0.png,0
FER2013_images\training\12035_4.png,4
FER2013_images\training\12036_2.png,2
FER2013_images\training\12037_2.png,2
FER2013_images\training\12038_6.png,6
FER2013_images\training\12039_4.png,4
FER2013_images\training\12040_4.png,4
FER2013_images\training\12041_4.png,4
FER2013_images\training\12042_6.png,6
FER2013_images\training\12043_6.png,6
FER2013_images\training\12044_3.png,3
FER2013_images\training\12045_6.png,6
FER2013_images\training\12046_5.png,5
FER2013_images\training\12047_3.png,3
FER2013_images\training\12048_0.png,0
FER2013_images\training\12049_0.png,0
FER2013_images\training\12050_4.png,4
FER2013_images\training\12051_3.png,3
FER2013_images\training\12052_5.png,5
FER2013_images\training\12053_4.png,4
FER2013_images\training\12054_2.png,2
FER2013_images\training\12055_0.png,0
FER2013_images\training\12056_5.png,5
FER2013_images\training\12057_4.png,4
FER2013_images\training\12058_1.png,1
FER2013_images\training\12059_3.png,3
FER2013_images\training\12060_5.png,5
FER2013_images\training\12061_4.png,4
FER2013_images\training\12062_6.png,6
FER2013_images\training\12063_2.png,2
FER2013_images\training\12064_6.png,6
FER2013_images\training\12065_3.png,3
FER2013_images\training\12066_3.png,3
FER2013_images\training\12067_3.png,3
FER2013_images\training\12068_6.png,6
FER2013_images\training\12069_6.png,6
FER2013_images\training\12070_4.png,4
FER2013_images\training\12071_4.png,4
FER2013_images\training\12072_1.png,1
FER2013_images\training\12073_3.png,3
FER2013_images\training\12074_4.png,4
FER2013_images\training\12075_0.png,0
FER2013_images\training\12076_6.png,6
FER2013_images\training\12077_4.png,4
FER2013_images\training\12078_3.png,3
FER2013_images\training\12079_6.png,6
FER2013_images\training\12080_5.png,5
FER2013_images\training\12081_3.png,3
FER2013_images\training\12082_5.png,5
FER2013_images\training\12083_4.png,4
FER2013_images\training\12084_6.png,6
FER2013_images\training\12085_3.png,3
FER2013_images\training\12086_5.png,5
FER2013_images\training\12087_6.png,6
FER2013_images\training\12088_2.png,2
FER2013_images\training\12089_3.png,3
FER2013_images\training\12090_6.png,6
FER2013_images\training\12091_3.png,3
FER2013_images\training\12092_4.png,4
FER2013_images\training\12093_5.png,5
FER2013_images\training\12094_4.png,4
FER2013_images\training\12095_3.png,3
FER2013_images\training\12096_6.png,6
FER2013_images\training\12097_6.png,6
FER2013_images\training\12098_3.png,3
FER2013_images\training\12099_6.png,6
FER2013_images\training\12100_6.png,6
FER2013_images\training\12101_3.png,3
FER2013_images\training\12102_5.png,5
FER2013_images\training\12103_3.png,3
FER2013_images\training\12104_3.png,3
FER2013_images\training\12105_2.png,2
FER2013_images\training\12106_6.png,6
FER2013_images\training\12107_5.png,5
FER2013_images\training\12108_4.png,4
FER2013_images\training\12109_6.png,6
FER2013_images\training\12110_0.png,0
FER2013_images\training\12111_3.png,3
FER2013_images\training\12112_3.png,3
FER2013_images\training\12113_4.png,4
FER2013_images\training\12114_3.png,3
FER2013_images\training\12115_1.png,1
FER2013_images\training\12116_6.png,6
FER2013_images\training\12117_6.png,6
FER2013_images\training\12118_0.png,0
FER2013_images\training\12119_4.png,4
FER2013_images\training\12120_3.png,3
FER2013_images\training\12121_4.png,4
FER2013_images\training\12122_3.png,3
FER2013_images\training\12123_6.png,6
FER2013_images\training\12124_0.png,0
FER2013_images\training\12125_2.png,2
FER2013_images\training\12126_4.png,4
FER2013_images\training\12127_5.png,5
FER2013_images\training\12128_4.png,4
FER2013_images\training\12129_3.png,3
FER2013_images\training\12130_4.png,4
FER2013_images\training\12131_5.png,5
FER2013_images\training\12132_4.png,4
FER2013_images\training\12133_0.png,0
FER2013_images\training\12134_5.png,5
FER2013_images\training\12135_5.png,5
FER2013_images\training\12136_0.png,0
FER2013_images\training\12137_4.png,4
FER2013_images\training\12138_4.png,4
FER2013_images\training\12139_2.png,2
FER2013_images\training\12140_2.png,2
FER2013_images\training\12141_3.png,3
FER2013_images\training\12142_0.png,0
FER2013_images\training\12143_6.png,6
FER2013_images\training\12144_0.png,0
FER2013_images\training\12145_6.png,6
FER2013_images\training\12146_0.png,0
FER2013_images\training\12147_3.png,3
FER2013_images\training\12148_5.png,5
FER2013_images\training\12149_6.png,6
FER2013_images\training\12150_3.png,3
FER2013_images\training\12151_6.png,6
FER2013_images\training\12152_4.png,4
FER2013_images\training\12153_3.png,3
FER2013_images\training\12154_2.png,2
FER2013_images\training\12155_0.png,0
FER2013_images\training\12156_3.png,3
FER2013_images\training\12157_4.png,4
FER2013_images\training\12158_4.png,4
FER2013_images\training\12159_6.png,6
FER2013_images\training\12160_2.png,2
FER2013_images\training\12161_6.png,6
FER2013_images\training\12162_6.png,6
FER2013_images\training\12163_2.png,2
FER2013_images\training\12164_3.png,3
FER2013_images\training\12165_6.png,6
FER2013_images\training\12166_3.png,3
FER2013_images\training\12167_3.png,3
FER2013_images\training\12168_6.png,6
FER2013_images\training\12169_6.png,6
FER2013_images\training\12170_3.png,3
FER2013_images\training\12171_0.png,0
FER2013_images\training\12172_3.png,3
FER2013_images\training\12173_6.png,6
FER2013_images\training\12174_3.png,3
FER2013_images\training\12175_6.png,6
FER2013_images\training\12176_5.png,5
FER2013_images\training\12177_4.png,4
FER2013_images\training\12178_5.png,5
FER2013_images\training\12179_1.png,1
FER2013_images\training\12180_6.png,6
FER2013_images\training\12181_0.png,0
FER2013_images\training\12182_4.png,4
FER2013_images\training\12183_0.png,0
FER2013_images\training\12184_6.png,6
FER2013_images\training\12185_4.png,4
FER2013_images\training\12186_6.png,6
FER2013_images\training\12187_4.png,4
FER2013_images\training\12188_2.png,2
FER2013_images\training\12189_3.png,3
FER2013_images\training\12190_4.png,4
FER2013_images\training\12191_3.png,3
FER2013_images\training\12192_2.png,2
FER2013_images\training\12193_4.png,4
FER2013_images\training\12194_6.png,6
FER2013_images\training\12195_5.png,5
FER2013_images\training\12196_0.png,0
FER2013_images\training\12197_4.png,4
FER2013_images\training\12198_0.png,0
FER2013_images\training\12199_6.png,6
FER2013_images\training\12200_2.png,2
FER2013_images\training\12201_5.png,5
FER2013_images\training\12202_6.png,6
FER2013_images\training\12203_0.png,0
FER2013_images\training\12204_2.png,2
FER2013_images\training\12205_2.png,2
FER2013_images\training\12206_0.png,0
FER2013_images\training\12207_3.png,3
FER2013_images\training\12208_2.png,2
FER2013_images\training\12209_3.png,3
FER2013_images\training\12210_2.png,2
FER2013_images\training\12211_0.png,0
FER2013_images\training\12212_4.png,4
FER2013_images\training\12213_0.png,0
FER2013_images\training\12214_6.png,6
FER2013_images\training\12215_6.png,6
FER2013_images\training\12216_3.png,3
FER2013_images\training\12217_4.png,4
FER2013_images\training\12218_0.png,0
FER2013_images\training\12219_5.png,5
FER2013_images\training\12220_4.png,4
FER2013_images\training\12221_3.png,3
FER2013_images\training\12222_0.png,0
FER2013_images\training\12223_2.png,2
FER2013_images\training\12224_5.png,5
FER2013_images\training\12225_6.png,6
FER2013_images\training\12226_5.png,5
FER2013_images\training\12227_6.png,6
FER2013_images\training\12228_4.png,4
FER2013_images\training\12229_6.png,6
FER2013_images\training\12230_0.png,0
FER2013_images\training\12231_0.png,0
FER2013_images\training\12232_3.png,3
FER2013_images\training\12233_6.png,6
FER2013_images\training\12234_4.png,4
FER2013_images\training\12235_0.png,0
FER2013_images\training\12236_2.png,2
FER2013_images\training\12237_0.png,0
FER2013_images\training\12238_4.png,4
FER2013_images\training\12239_3.png,3
FER2013_images\training\12240_2.png,2
FER2013_images\training\12241_2.png,2
FER2013_images\training\12242_6.png,6
FER2013_images\training\12243_2.png,2
FER2013_images\training\12244_2.png,2
FER2013_images\training\12245_3.png,3
FER2013_images\training\12246_4.png,4
FER2013_images\training\12247_6.png,6
FER2013_images\training\12248_4.png,4
FER2013_images\training\12249_0.png,0
FER2013_images\training\12250_6.png,6
FER2013_images\training\12251_6.png,6
FER2013_images\training\12252_4.png,4
FER2013_images\training\12253_5.png,5
FER2013_images\training\12254_0.png,0
FER2013_images\training\12255_2.png,2
FER2013_images\training\12256_6.png,6
FER2013_images\training\12257_3.png,3
FER2013_images\training\12258_2.png,2
FER2013_images\training\12259_2.png,2
FER2013_images\training\12260_4.png,4
FER2013_images\training\12261_4.png,4
FER2013_images\training\12262_0.png,0
FER2013_images\training\12263_2.png,2
FER2013_images\training\12264_1.png,1
FER2013_images\training\12265_6.png,6
FER2013_images\training\12266_6.png,6
FER2013_images\training\12267_4.png,4
FER2013_images\training\12268_3.png,3
FER2013_images\training\12269_4.png,4
FER2013_images\training\12270_0.png,0
FER2013_images\training\12271_4.png,4
FER2013_images\training\12272_6.png,6
FER2013_images\training\12273_3.png,3
FER2013_images\training\12274_6.png,6
FER2013_images\training\12275_0.png,0
FER2013_images\training\12276_5.png,5
FER2013_images\training\12277_4.png,4
FER2013_images\training\12278_2.png,2
FER2013_images\training\12279_3.png,3
FER2013_images\training\12280_1.png,1
FER2013_images\training\12281_3.png,3
FER2013_images\training\12282_3.png,3
FER2013_images\training\12283_0.png,0
FER2013_images\training\12284_3.png,3
FER2013_images\training\12285_5.png,5
FER2013_images\training\12286_3.png,3
FER2013_images\training\12287_5.png,5
FER2013_images\training\12288_6.png,6
FER2013_images\training\12289_6.png,6
FER2013_images\training\12290_4.png,4
FER2013_images\training\12291_3.png,3
FER2013_images\training\12292_4.png,4
FER2013_images\training\12293_2.png,2
FER2013_images\training\12294_0.png,0
FER2013_images\training\12295_4.png,4
FER2013_images\training\12296_4.png,4
FER2013_images\training\12297_3.png,3
FER2013_images\training\12298_0.png,0
FER2013_images\training\12299_5.png,5
FER2013_images\training\12300_2.png,2
FER2013_images\training\12301_4.png,4
FER2013_images\training\12302_6.png,6
FER2013_images\training\12303_2.png,2
FER2013_images\training\12304_0.png,0
FER2013_images\training\12305_4.png,4
FER2013_images\training\12306_3.png,3
FER2013_images\training\12307_0.png,0
FER2013_images\training\12308_6.png,6
FER2013_images\training\12309_2.png,2
FER2013_images\training\12310_0.png,0
FER2013_images\training\12311_3.png,3
FER2013_images\training\12312_5.png,5
FER2013_images\training\12313_2.png,2
FER2013_images\training\12314_0.png,0
FER2013_images\training\12315_6.png,6
FER2013_images\training\12316_0.png,0
FER2013_images\training\12317_3.png,3
FER2013_images\training\12318_4.png,4
FER2013_images\training\12319_6.png,6
FER2013_images\training\12320_5.png,5
FER2013_images\training\12321_3.png,3
FER2013_images\training\12322_2.png,2
FER2013_images\training\12323_3.png,3
FER2013_images\training\12324_4.png,4
FER2013_images\training\12325_6.png,6
FER2013_images\training\12326_6.png,6
FER2013_images\training\12327_3.png,3
FER2013_images\training\12328_0.png,0
FER2013_images\training\12329_3.png,3
FER2013_images\training\12330_5.png,5
FER2013_images\training\12331_4.png,4
FER2013_images\training\12332_3.png,3
FER2013_images\training\12333_4.png,4
FER2013_images\training\12334_2.png,2
FER2013_images\training\12335_3.png,3
FER2013_images\training\12336_4.png,4
FER2013_images\training\12337_3.png,3
FER2013_images\training\12338_5.png,5
FER2013_images\training\12339_2.png,2
FER2013_images\training\12340_2.png,2
FER2013_images\training\12341_5.png,5
FER2013_images\training\12342_5.png,5
FER2013_images\training\12343_3.png,3
FER2013_images\training\12344_3.png,3
FER2013_images\training\12345_4.png,4
FER2013_images\training\12346_3.png,3
FER2013_images\training\12347_6.png,6
FER2013_images\training\12348_4.png,4
FER2013_images\training\12349_3.png,3
FER2013_images\training\12350_2.png,2
FER2013_images\training\12351_3.png,3
FER2013_images\training\12352_0.png,0
FER2013_images\training\12353_2.png,2
FER2013_images\training\12354_4.png,4
FER2013_images\training\12355_2.png,2
FER2013_images\training\12356_3.png,3
FER2013_images\training\12357_2.png,2
FER2013_images\training\12358_5.png,5
FER2013_images\training\12359_3.png,3
FER2013_images\training\12360_2.png,2
FER2013_images\training\12361_6.png,6
FER2013_images\training\12362_2.png,2
FER2013_images\training\12363_6.png,6
FER2013_images\training\12364_4.png,4
FER2013_images\training\12365_0.png,0
FER2013_images\training\12366_6.png,6
FER2013_images\training\12367_0.png,0
FER2013_images\training\12368_5.png,5
FER2013_images\training\12369_4.png,4
FER2013_images\training\12370_3.png,3
FER2013_images\training\12371_5.png,5
FER2013_images\training\12372_4.png,4
FER2013_images\training\12373_5.png,5
FER2013_images\training\12374_2.png,2
FER2013_images\training\12375_0.png,0
FER2013_images\training\12376_3.png,3
FER2013_images\training\12377_3.png,3
FER2013_images\training\12378_4.png,4
FER2013_images\training\12379_3.png,3
FER2013_images\training\12380_4.png,4
FER2013_images\training\12381_3.png,3
FER2013_images\training\12382_2.png,2
FER2013_images\training\12383_2.png,2
FER2013_images\training\12384_2.png,2
FER2013_images\training\12385_5.png,5
FER2013_images\training\12386_3.png,3
FER2013_images\training\12387_3.png,3
FER2013_images\training\12388_2.png,2
FER2013_images\training\12389_4.png,4
FER2013_images\training\12390_6.png,6
FER2013_images\training\12391_6.png,6
FER2013_images\training\12392_0.png,0
FER2013_images\training\12393_4.png,4
FER2013_images\training\12394_6.png,6
FER2013_images\training\12395_6.png,6
FER2013_images\training\12396_4.png,4
FER2013_images\training\12397_3.png,3
FER2013_images\training\12398_3.png,3
FER2013_images\training\12399_3.png,3
FER2013_images\training\12400_0.png,0
FER2013_images\training\12401_4.png,4
FER2013_images\training\12402_3.png,3
FER2013_images\training\12403_3.png,3
FER2013_images\training\12404_0.png,0
FER2013_images\training\12405_2.png,2
FER2013_images\training\12406_3.png,3
FER2013_images\training\12407_6.png,6
FER2013_images\training\12408_6.png,6
FER2013_images\training\12409_5.png,5
FER2013_images\training\12410_3.png,3
FER2013_images\training\12411_6.png,6
FER2013_images\training\12412_5.png,5
FER2013_images\training\12413_2.png,2
FER2013_images\training\12414_6.png,6
FER2013_images\training\12415_3.png,3
FER2013_images\training\12416_6.png,6
FER2013_images\training\12417_1.png,1
FER2013_images\training\12418_3.png,3
FER2013_images\training\12419_0.png,0
FER2013_images\training\12420_6.png,6
FER2013_images\training\12421_0.png,0
FER2013_images\training\12422_6.png,6
FER2013_images\training\12423_6.png,6
FER2013_images\training\12424_3.png,3
FER2013_images\training\12425_5.png,5
FER2013_images\training\12426_3.png,3
FER2013_images\training\12427_4.png,4
FER2013_images\training\12428_3.png,3
FER2013_images\training\12429_2.png,2
FER2013_images\training\12430_2.png,2
FER2013_images\training\12431_2.png,2
FER2013_images\training\12432_0.png,0
FER2013_images\training\12433_2.png,2
FER2013_images\training\12434_6.png,6
FER2013_images\training\12435_4.png,4
FER2013_images\training\12436_6.png,6
FER2013_images\training\12437_4.png,4
FER2013_images\training\12438_3.png,3
FER2013_images\training\12439_3.png,3
FER2013_images\training\12440_2.png,2
FER2013_images\training\12441_2.png,2
